,Mean,Std
emiss19V_ERA5,0.6591465547441993,0.014791449347188268
emiss19H_ERA5,0.382412803235017,0.03065711524498361
emiss37V_ERA5,0.7451088956934304,0.029543853671673767
emiss37H_ERA5,0.5204145454317437,0.055842023750401634
emiss19V_1st_order,0.6390931129669327,0.012419424086037814
emiss19H_1st_order,0.34115741158692525,0.023788263041216274
emiss37V_1st_order,0.7139354778194986,0.024468978904416627
emiss37H_1st_order,0.45647785411056785,0.05086308530996685
emiss19V_de_lannoy,0.6155676204649059,0.014351249194539258
emiss19H_de_lannoy,0.2965393165048321,0.023851436693850352
emiss37V_de_lannoy,0.6724709284721537,0.02404012219017269
emiss37H_de_lannoy,0.37676163466836343,0.050560661800781025
