iter	RMSE
0	0.06323063709
1	0.05528107259
2	0.04898985961
3	0.04413142783
4	0.04078421436
5	0.03802499167
6	0.03575827416
7	0.03413059339
8	0.03286557854
9	0.03194967994
10	0.03107771389
11	0.03039632561
12	0.02985313286
13	0.02942559561
14	0.02903040731
15	0.02868188026
16	0.02843314464
17	0.02817284869
18	0.02799749814
19	0.02785444502
20	0.0276803393
21	0.02753410074
22	0.02742063584
23	0.0272629646
24	0.02717132817
25	0.02706060858
26	0.02698127944
27	0.02689138531
28	0.02680166713
29	0.02671933831
30	0.02665574365
31	0.02655378287
32	0.02650175992
