variant,model,rows,boxcox_lambda,RMSE,MAE,R2,time_s
raw,LinearRegression,26482762,,0.029350113737940834,0.019139088897407407,0.7473401687157348,1.9615
raw,XGBoost,26482762,,0.028468217700719833,0.017367880791425705,0.762295663356781,2.8287
scaled_features,LinearRegression,26482762,,0.02935011373794095,0.01913908889740645,0.7473401687157328,1.9864
scaled_features,XGBoost,26482762,,0.02835788019001484,0.017368776723742485,0.7641346454620361,2.5857
remove_zeros,LinearRegression,17799335,,0.03274339978584633,0.021677510123243725,0.7435799557429233,1.2605
remove_zeros,XGBoost,17799335,,0.032364003360271454,0.020717116072773933,0.7494877576828003,1.8309
remove_zeros_scaled,LinearRegression,17799335,,0.032743399785846276,0.02167751012324345,0.7435799557429241,1.2844
remove_zeros_scaled,XGBoost,17799335,,0.03233974054455757,0.020596018061041832,0.7498632669448853,1.8343
boxcox_target,LinearRegression,17799335,0.1647956805334327,0.42410595670094986,0.32272726876729396,0.6513011959936466,1.2619
boxcox_target,XGBoost,17799335,0.1647956805334327,0.42276539799952706,0.31954099096721994,0.6535021197205368,2.0096
full_scale,LinearRegression,17799335,0.1647956805334327,0.42410595670094947,0.3227272687672924,0.6513011959936471,1.2935
full_scale,XGBoost,17799335,0.1647956805334327,0.42278127467850235,0.3195736230852715,0.653476094227748,1.9635
