window_size,feature_set,r2,rmse,mae,n_train,n_test
3,A: current only,0.9557136297225952,0.012287871188903789,0.007004875689744949,12828588,13635327
3,B: current + window mean,0.9584947824478149,0.011851096118700716,0.006681691389530897,12828588,13635327
3,C: current + window std,0.9564664363861084,0.012137229549675431,0.006882543675601482,12828588,13635327
3,D: current + window mean + std,0.958753228187561,0.011814145145747116,0.006630697753280401,12828588,13635327
5,A: current only,0.9557136297225952,0.012287871188903789,0.007004875689744949,12833358,13640120
5,B: current + window mean,0.9572424292564392,0.012053118403569003,0.006775063928216696,12833358,13640120
5,C: current + window std,0.9551934003829956,0.012338538500420061,0.006987566128373146,12833358,13640120
5,D: current + window mean + std,0.9566744565963745,0.012132910167977398,0.006791684310883284,12833358,13640120
7,A: current only,0.9557136297225952,0.012287871188903789,0.007004875689744949,12834981,13641811
7,B: current + window mean,0.9562920331954956,0.012190163402342823,0.006860024761408567,12834981,13641811
7,C: current + window std,0.953886091709137,0.012521183469138147,0.00709528336301446,12834981,13641811
7,D: current + window mean + std,0.9554470777511597,0.012307432460768252,0.006901947781443596,12834981,13641811
9,A: current only,0.9557136297225952,0.012287871188903789,0.007004875689744949,12835797,13642736
9,B: current + window mean,0.9555303454399109,0.012299321107569303,0.006924321874976158,12835797,13642736
9,C: current + window std,0.9530239701271057,0.012641171748839355,0.007166845723986626,12835797,13642736
9,D: current + window mean + std,0.9539875388145447,0.012510849716255044,0.007016556803137064,12835797,13642736
