lag,feature_set,r2,rmse,mae,n_train,n_test
1,A: current only,0.9480807185173036,0.0135988291532769,0.0081290574744343,4346895,4632129
1,E: current + prev fwns estimate,0.9592535495758056,0.0120470863538584,0.0074222483672201,4346895,4632129
1,F: current + prev features + prev fwns estimate,0.970828652381897,0.0101933165127404,0.006502843927592,4346895,4632129
2,A: current only,0.9504570960998536,0.013801853056927,0.0087282666936516,2243931,2417553
2,E: current + prev fwns estimate,0.9602978825569152,0.0123553050718477,0.0081078866496682,2243931,2417553
2,F: current + prev features + prev fwns estimate,0.970860481262207,0.0105849260548841,0.0071353013627231,2243931,2417553
3,A: current only,0.949620008468628,0.0141230633804405,0.0090099489316344,1775253,1926198
3,E: current + prev fwns estimate,0.958899736404419,0.0127562267352491,0.0084061315283179,1775253,1926198
3,F: current + prev features + prev fwns estimate,0.9693800806999208,0.0110103744696011,0.0074518984183669,1775253,1926198
4,A: current only,0.9475185871124268,0.0137410897161217,0.0083809923380613,3015928,3326052
4,E: current + prev fwns estimate,0.957699418067932,0.0123364915040132,0.0078222099691629,3015928,3326052
4,F: current + prev features + prev fwns estimate,0.9674542546272278,0.0108209547973725,0.0070690908469259,3015928,3326052
5,A: current only,0.9515784978866576,0.0127007347915962,0.0073729967698454,6363965,7160253
5,E: current + prev fwns estimate,0.959813356399536,0.0115704553632815,0.0069293966516852,6363965,7160253
5,F: current + prev features + prev fwns estimate,0.9690160155296326,0.0101596385462253,0.0063199270516633,6363965,7160253
6,A: current only,0.9504713416099548,0.0129283337680332,0.0076424670405685,5393329,5927384
6,E: current + prev fwns estimate,0.959650993347168,0.01166892137189,0.0071517387405037,5393329,5927384
6,F: current + prev features + prev fwns estimate,0.96703040599823,0.0105480235410432,0.006657242309302,5393329,5927384
7,A: current only,0.947925865650177,0.0135938876689045,0.0082218013703823,3219736,3536961
7,E: current + prev fwns estimate,0.9579396843910216,0.0122171205310807,0.007686570752412,3219736,3536961
7,F: current + prev features + prev fwns estimate,0.9669148921966552,0.010835492301356,0.0070380605757236,3219736,3536961
8,A: current only,0.9515144228935242,0.0138951598078667,0.0088782468810677,1704981,1869819
8,E: current + prev fwns estimate,0.9599294066429138,0.012631945348759,0.0083815641701221,1704981,1869819
8,F: current + prev features + prev fwns estimate,0.9668884873390198,0.0114827691396096,0.0077744787558913,1704981,1869819
9,A: current only,0.9511876106262208,0.0136529278169786,0.0086222365498542,2104363,2325449
9,E: current + prev fwns estimate,0.9592596888542176,0.0124730561811969,0.0081824166700243,2104363,2325449
9,F: current + prev features + prev fwns estimate,0.96628999710083,0.0113459299958839,0.0075827930122613,2104363,2325449
10,A: current only,0.9494421482086182,0.0132643189614695,0.0078999800607562,4004366,4447526
10,E: current + prev fwns estimate,0.9576707482337952,0.0121369909565449,0.0074969171546399,4004366,4447526
10,F: current + prev features + prev fwns estimate,0.9652749300003052,0.0109928969110559,0.0069935270585119,4004366,4447526
