lag,feature_set,r2,rmse,mae,n_train,n_test
1,E: current + prev fwns estimate,0.9592535495758057,0.012047086353858446,0.007422248367220163,4346895,4632129
1,F: current + prev features + prev fwns estimate,0.970828652381897,0.010193316512740434,0.006502843927592039,4346895,4632129
2,E: current + prev fwns estimate,0.9602978825569153,0.012355305071847705,0.008107886649668217,2243931,2417553
2,F: current + prev features + prev fwns estimate,0.970860481262207,0.010584926054884118,0.007135301362723112,2243931,2417553
3,E: current + prev fwns estimate,0.958899736404419,0.012756226735249199,0.008406131528317928,1775253,1926198
3,F: current + prev features + prev fwns estimate,0.9693800806999207,0.011010374469601127,0.007451898418366909,1775253,1926198
4,E: current + prev fwns estimate,0.9576994180679321,0.012336491504013225,0.007822209969162941,3015928,3326052
4,F: current + prev features + prev fwns estimate,0.9674542546272278,0.010820954797372585,0.007069090846925974,3015928,3326052
5,E: current + prev fwns estimate,0.9598133563995361,0.01157045536328155,0.006929396651685238,6363965,7160253
5,F: current + prev features + prev fwns estimate,0.9690160155296326,0.010159638546225326,0.006319927051663399,6363965,7160253
6,E: current + prev fwns estimate,0.959650993347168,0.011668921371890012,0.007151738740503788,5393329,5927384
6,F: current + prev features + prev fwns estimate,0.96703040599823,0.010548023541043299,0.006657242309302092,5393329,5927384
7,E: current + prev fwns estimate,0.9579396843910217,0.012217120531080707,0.007686570752412081,3219736,3536961
7,F: current + prev features + prev fwns estimate,0.9669148921966553,0.010835492301356062,0.007038060575723648,3219736,3536961
8,E: current + prev fwns estimate,0.9599294066429138,0.01263194534875903,0.008381564170122147,1704981,1869819
8,F: current + prev features + prev fwns estimate,0.9668884873390198,0.01148276913960969,0.007774478755891323,1704981,1869819
9,E: current + prev fwns estimate,0.9592596888542175,0.012473056181196969,0.008182416670024395,2104363,2325449
9,F: current + prev features + prev fwns estimate,0.9662899971008301,0.01134592999588395,0.007582793012261391,2104363,2325449
10,E: current + prev fwns estimate,0.9576707482337952,0.012136990956544937,0.007496917154639959,4004366,4447526
10,F: current + prev features + prev fwns estimate,0.9652749300003052,0.010992896911055986,0.006993527058511972,4004366,4447526
11,E: current + prev fwns estimate,0.9619219899177551,0.011165963608425596,0.00671487208455801,7856304,8823012
11,F: current + prev features + prev fwns estimate,0.967843770980835,0.010261048160020781,0.006346611771732569,7856304,8823012
12,E: current + prev fwns estimate,0.9580484628677368,0.012018804742496702,0.007337882183492184,4418069,4783651
12,F: current + prev features + prev fwns estimate,0.9654750823974609,0.010903186916862682,0.006863734684884548,4418069,4783651
13,E: current + prev fwns estimate,0.9592455625534058,0.012520408268619028,0.008208539336919785,2066030,2225369
13,F: current + prev features + prev fwns estimate,0.9645965695381165,0.011669545511736738,0.007781247142702341,2066030,2225369
14,E: current + prev fwns estimate,0.9583836197853088,0.012845156868254113,0.008470097556710243,1636459,1812251
14,F: current + prev features + prev fwns estimate,0.9637578129768372,0.011987106958689184,0.008070938289165497,1636459,1812251
15,E: current + prev fwns estimate,0.9569950103759766,0.012538981285159007,0.007948778569698334,2709294,3045169
15,F: current + prev features + prev fwns estimate,0.9628962278366089,0.011646947331897363,0.007551552727818489,2709294,3045169
