lag,feature_set,r2,rmse,mae,n_train,n_test
1,A: current only,0.9453043341636658,0.014016040305290023,0.008449067361652851,4293463,4567845
1,B: current + prev features,0.9453854560852051,0.014005642178811254,0.008508751168847084,4293463,4567845
1,C: current + prev fwns,0.9623708724975586,0.011625484405467904,0.007294940296560526,4293463,4567845
1,D: current + prev features + prev fwns,0.9746881127357483,0.009534787549734,0.006186938378959894,4293463,4567845
2,A: current only,0.9476851224899292,0.014196834969998122,0.008997210301458836,2235883,2407758
2,B: current + prev features,0.945905327796936,0.014436311926398996,0.009208464063704014,2235883,2407758
2,C: current + prev fwns,0.964411199092865,0.011709431206439056,0.007830195128917694,2235883,2407758
2,D: current + prev features + prev fwns,0.9752547740936279,0.00976393468950553,0.00670783594250679,2235883,2407758
3,A: current only,0.9482338428497314,0.014323779835574467,0.009165192022919655,1771600,1921335
3,B: current + prev features,0.9462170004844666,0.0146001466840409,0.009403062053024769,1771600,1921335
3,C: current + prev fwns,0.9617497324943542,0.012312662146031323,0.0082468930631876,1771600,1921335
3,D: current + prev features + prev fwns,0.9729660749435425,0.010351162227390714,0.007123854942619801,1771600,1921335
4,A: current only,0.9452162384986877,0.0140670844848828,0.008632488548755646,2995970,3301502
4,B: current + prev features,0.9443280100822449,0.014180666461002854,0.008811063133180141,2995970,3301502
4,C: current + prev fwns,0.9601279497146606,0.012000859957069617,0.007733331527560949,2995970,3301502
4,D: current + prev features + prev fwns,0.9704895615577698,0.010324428289727525,0.006852871738374233,2995970,3301502
5,A: current only,0.9454945921897888,0.013647851848804281,0.0079783471301198,6160718,6896726
5,B: current + prev features,0.9465848207473755,0.01351066577098427,0.008040666580200195,6160718,6896726
5,C: current + prev fwns,0.9618019461631775,0.011425237382880494,0.0070183612406253815,6160718,6896726
5,D: current + prev features + prev fwns,0.9720378518104553,0.009775296280097897,0.006218576803803444,6160718,6896726
