lag,feature_set,r2,rmse,mae,n_train,n_test
1,A: current only,0.9480807185173035,0.013598829153276905,0.008129057474434376,4346895,4632129
1,B: current + prev features,0.9480831027030945,0.013598518289772096,0.00819710735231638,4346895,4632129
1,C: current + prev fwns,0.9637690186500549,0.011359965423142817,0.00709834648296237,4346895,4632129
1,D: current + prev features + prev fwns,0.975562572479248,0.009329644104176938,0.006036862730979919,4346895,4632129
2,A: current only,0.9504570960998535,0.013801853056927004,0.008728266693651676,2243931,2417553
2,B: current + prev features,0.9473229050636292,0.014231726526145308,0.009034685790538788,2243931,2417553
2,C: current + prev fwns,0.9647877216339111,0.01163572651869647,0.007757125422358513,2243931,2417553
2,D: current + prev features + prev fwns,0.9760158061981201,0.009603048993955842,0.006599314510822296,2243931,2417553
3,A: current only,0.9496200084686279,0.014123063380440526,0.009009948931634426,1775253,1926198
3,B: current + prev features,0.9470364451408386,0.014480665184609871,0.009269996546208858,1775253,1926198
3,C: current + prev fwns,0.9627809524536133,0.012138994273824614,0.008123231120407581,1775253,1926198
3,D: current + prev features + prev fwns,0.97386234998703,0.010172633249989469,0.007007200736552477,1775253,1926198
4,A: current only,0.9475185871124268,0.013741089716121719,0.008380992338061333,3015928,3326052
4,B: current + prev features,0.9452564716339111,0.014034111040698807,0.0086548812687397,3015928,3326052
4,C: current + prev fwns,0.9612573385238647,0.011806285899562651,0.007585260551422834,3015928,3326052
4,D: current + prev features + prev fwns,0.9715271592140198,0.010121246989069008,0.0067000300623476505,3015928,3326052
5,A: current only,0.9515784978866577,0.012700734791596205,0.007372996769845486,6363965,7160253
5,B: current + prev features,0.9506099820137024,0.012827119081214563,0.007542207837104797,6363965,7160253
5,C: current + prev fwns,0.9637472033500671,0.010989558552945046,0.006684021092951298,6363965,7160253
5,D: current + prev features + prev fwns,0.9733291864395142,0.009426003088392795,0.005948481149971485,6363965,7160253
6,A: current only,0.9504713416099548,0.012928333768033233,0.00764246704056859,5393329,5927384
6,B: current + prev features,0.9495775699615479,0.013044468159266574,0.00781637616455555,5393329,5927384
6,C: current + prev fwns,0.9625197052955627,0.011246459916385565,0.006964903324842453,5393329,5927384
6,D: current + prev features + prev fwns,0.9705830812454224,0.009963519711844357,0.006361106876283884,5393329,5927384
